Applicant_ID,Applicant_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Status,Annual_Income_Lakhs,Credit_Score,Loan_Amount_Lakhs,Loan_Term_Years,Interest_Rate_Percent,Down_Payment_Percent,Loan_Type,Property_Location,Property_Value_Lakhs,Property_Type,Existing_Loans_Amount,EMI_Affordability_Percent,Prior_Relationship_Years,Loan_Approval_Status,Application_Date
1,59,Male,Divorced,2,Doctorate,Salaried,30.65,421,27.62,20,8.57,13.34,Construction,Semi-Urban,45.23,Independent House,10.62,13.18,0,Approved,22-01-2018
2,64,Male,Single,2,Postgraduate,Unemployed,8.7,775,146.19,20,8.22,29.58,Home Purchase,Rural,262.18,Plot,8.53,7.93,3,Rejected,24-08-2023
3,29,Female,Single,1,Doctorate,Unemployed,34.8,727,76.8,20,10.59,11.47,Refinance,Semi-Urban,170.42,Independent House,28.39,6.41,17,Rejected,11-06-2018
4,30,Female,Widowed,3,High School,Self-Employed,17.62,637,83.26,15,10.84,20.18,Home Purchase,Urban,109.99,Apartment,3.73,49.41,0,Approved,04-02-2022
5,31,Other,Single,2,Postgraduate,Salaried,31.09,789,56.98,10,10.62,26.25,Refinance,Urban,47.16,Plot,33.44,34.97,11,Approved,20-04-2022
6,21,Other,Single,2,High School,Salaried,28.94,697,76.6,10,9.7,7.77,Home Purchase,Rural,38.49,Plot,23.77,30.35,3,Rejected,28-03-2024
7,35,Other,Single,3,High School,Unemployed,15.91,385,132.67,15,10.14,20.84,Refinance,Semi-Urban,268.49,Independent House,6.1,21.03,0,Approved,30-07-2021
8,33,Male,Divorced,2,High School,Self-Employed,12.66,533,53.95,20,7.95,17.97,Home Purchase,Urban,47.52,Independent House,48.12,16.33,1,Rejected,25-06-2022
9,37,Other,Single,1,Graduate,Self-Employed,3.59,524,96.98,15,8.89,16.19,Refinance,Rural,211.48,Plot,18.48,15.9,5,Approved,17-07-2018
10,42,Other,Divorced,0,High School,Unemployed,10.95,648,129.46,25,9.55,5.41,Construction,Rural,91.15,Plot,8.72,36.09,6,Rejected,03-10-2019
11,31,Male,Single,1,Postgraduate,Unemployed,44.11,562,100.7,15,10.92,17.92,Home Purchase,Semi-Urban,298.99,Independent House,44.86,45.52,8,Approved,10-08-2022
12,36,Other,Widowed,0,Doctorate,Unemployed,46.91,719,135.29,25,9.11,14.31,Home Purchase,Rural,292.89,Independent House,8.04,29.69,2,Approved,01-09-2022
13,56,Male,Widowed,0,Graduate,Salaried,10.58,803,99.2,20,9.46,19.21,Construction,Rural,201.81,Independent House,12.2,48.79,12,Approved,05-12-2022
14,47,Other,Married,4,Graduate,Salaried,29.69,780,33.31,30,8.75,19.3,Home Purchase,Urban,298.53,Independent House,47.7,46.17,2,Rejected,26-11-2020
15,44,Male,Single,4,Postgraduate,Unemployed,49.06,415,47.7,30,7.36,11.71,Construction,Semi-Urban,180.34,Plot,42.21,46.85,13,Approved,14-08-2022
16,22,Other,Divorced,1,Graduate,Self-Employed,37.56,692,106.86,30,7.83,15.49,Refinance,Urban,195.11,Independent House,0.26,33.26,19,Approved,03-01-2025
17,36,Female,Widowed,2,Postgraduate,Unemployed,20.03,350,72.51,30,10.28,26.51,Home Purchase,Semi-Urban,252.1,Independent House,26.85,19.7,7,Rejected,05-01-2018
18,59,Female,Single,3,Graduate,Unemployed,35.58,568,145.58,15,7.95,24.88,Construction,Rural,148.52,Plot,12.54,13.3,8,Approved,23-07-2022
19,21,Other,Married,0,Doctorate,Salaried,15.44,571,79.92,30,9.25,15.49,Refinance,Rural,234.62,Apartment,17.09,9.13,14,Approved,09-11-2022
20,25,Female,Married,4,Postgraduate,Salaried,24.3,656,62.78,15,10.77,27.17,Construction,Semi-Urban,198.98,Independent House,25.05,29.27,12,Approved,10-10-2025
21,36,Other,Married,0,Doctorate,Unemployed,40.45,679,23.63,30,8.96,28.54,Construction,Urban,289.52,Independent House,10.33,17.33,11,Approved,21-12-2024
22,55,Other,Single,1,Doctorate,Salaried,42.55,717,42.8,25,9.62,13.71,Construction,Urban,40.58,Apartment,40.17,17.69,9,Approved,18-02-2024
23,55,Male,Divorced,3,Graduate,Salaried,39.27,489,86.47,25,8.43,23.77,Home Purchase,Rural,57.84,Apartment,26.72,27.35,12,Rejected,03-02-2024
24,56,Male,Single,2,Doctorate,Salaried,17.33,683,74.97,15,9.34,16.21,Construction,Urban,179.5,Apartment,37.62,40.62,6,Approved,01-12-2020
25,59,Female,Divorced,1,High School,Unemployed,44.61,534,107.35,25,9.6,25.92,Home Purchase,Urban,256.39,Independent House,35.05,8.27,17,Rejected,02-05-2021
26,25,Male,Single,2,Doctorate,Salaried,19.79,799,39.32,10,9.16,13.76,Construction,Rural,239.83,Independent House,35.25,16.19,18,Approved,22-06-2018
27,33,Female,Widowed,1,Doctorate,Salaried,41.49,300,103.75,25,10.83,14.37,Home Purchase,Urban,264.52,Independent House,21.82,41.09,12,Rejected,27-01-2023
28,41,Female,Single,2,Doctorate,Salaried,14.14,831,15.94,10,7.48,12.36,Home Purchase,Urban,218.17,Plot,45.06,7.05,11,Rejected,02-10-2025
29,28,Female,Widowed,3,High School,Self-Employed,11.03,389,61.3,25,9.13,6.94,Home Purchase,Rural,218.5,Apartment,13.99,23.5,12,Approved,13-07-2020
30,33,Female,Divorced,4,Graduate,Self-Employed,22,749,17,15,8.98,9.12,Home Purchase,Semi-Urban,248.85,Plot,7.52,31.74,16,Rejected,22-06-2022
31,61,Other,Divorced,0,High School,Unemployed,43.51,736,89.85,30,10.75,26.24,Home Purchase,Urban,151.65,Independent House,12.57,17.36,3,Approved,30-05-2020
32,60,Female,Widowed,1,Graduate,Self-Employed,24.86,605,128.57,25,9.02,26.92,Home Purchase,Urban,66.18,Plot,21.03,40.31,13,Rejected,11-03-2019
33,59,Female,Widowed,3,Graduate,Self-Employed,31.19,634,68.43,15,8.07,17.85,Construction,Semi-Urban,197.96,Plot,34.88,40.84,9,Rejected,15-09-2021
